(11-344)	Sim: 0.15762208124782012
(11-346)	Sim: 0.2519763153394848
(11-368)	Sim: 0.1543033499620919
(11-374)	Sim: 0.10482848367219183
(11-413)	Sim: 0.0545544725589981
(11-414)	Sim: 0.13363062095621217
(11-418)	Sim: 0.1543033499620919
(12-109)	Sim: 0.11470786693528087
(12-125)	Sim: 0.0490880693673816
(12-231)	Sim: 0.10425720702853739
(12-324)	Sim: 0.12216944435630522
(12-403)	Sim: 0.11180339887498948
(13-221)	Sim: 0.10752066611409407
(13-325)	Sim: 0.8164965809277259
(13-344)	Sim: 0.29488391230979427
(13-351)	Sim: 0.20412414523193148
(13-403)	Sim: 0.15811388300841897
(14-86)	Sim: 0.8944271909999159
(14-148)	Sim: 0.8090398349558905
(14-231)	Sim: 0.10425720702853739
(14-236)	Sim: 0.5773502691896258
(14-333)	Sim: 0.5773502691896258
(14-340)	Sim: 0.31622776601683794
(14-417)	Sim: 0.4472135954999579
(15-109)	Sim: 0.02564945880212885
(15-125)	Sim: 0.10976425998969035
(15-147)	Sim: 0.12403473458920847
(15-153)	Sim: 0.04016096644512494
(15-158)	Sim: 0.14142135623730948
(15-163)	Sim: 0.18257418583505536
(15-189)	Sim: 0.1732050807568877
(15-196)	Sim: 0.10690449676496974
(15-213)	Sim: 0.06984302957695782
(15-221)	Sim: 0.10200306013770688
(15-249)	Sim: 0.01831858263618279
(15-267)	Sim: 0.2435440935235262
(15-281)	Sim: 0.06741998624632421
(15-289)	Sim: 0.13416407864998736
(15-308)	Sim: 0.023836564731139803
(15-330)	Sim: 0.09999999999999998
(15-369)	Sim: 0.10846522890932808
(15-374)	Sim: 0.062017367294604234
(15-387)	Sim: 0.31622776601683794
(15-395)	Sim: 0.05976143046671968
(15-403)	Sim: 0.14999999999999997
(15-427)	Sim: 0.07453559924999299
(16-125)	Sim: 0.0981761387347632
(16-222)	Sim: 0.17149858514250882
(16-229)	Sim: 0.4082482904638631
(16-267)	Sim: 0.09901475429766744
(16-395)	Sim: 0.2672612419124244
(16-397)	Sim: 0.20851441405707477
(17-109)	Sim: 0.11470786693528087
(17-234)	Sim: 0.30151134457776363
(17-283)	Sim: 0.5
(17-378)	Sim: 0.18257418583505536
(17-384)	Sim: 0.35355339059327373
(18-84)	Sim: 0.5773502691896258
(18-125)	Sim: 0.0490880693673816
(18-130)	Sim: 0.5773502691896258
(18-317)	Sim: 0.7071067811865475
(18-340)	Sim: 0.31622776601683794
(18-345)	Sim: 0.1091089451179962
(19-313)	Sim: 0.35355339059327373
(19-323)	Sim: 0.3333333333333333
(19-404)	Sim: 0.22360679774997896
(20-324)	Sim: 0.172773685116272
(20-362)	Sim: 0.8164965809277259
(20-389)	Sim: 0.7071067811865475
(20-397)	Sim: 0.29488391230979427
(20-400)	Sim: 0.14990633779917228
(20-420)	Sim: 0.29488391230979427
(21-221)	Sim: 0.1520571842539411
(21-249)	Sim: 0.08192319205190406
(21-256)	Sim: 0.31622776601683794
(21-403)	Sim: 0.11180339887498948
(22-196)	Sim: 0.11952286093343936
(22-249)	Sim: 0.08192319205190406
(23-67)	Sim: 0.5773502691896258
(23-68)	Sim: 0.19245008972987526
(23-120)	Sim: 0.14907119849998599
(23-125)	Sim: 0.056682020126513584
(23-135)	Sim: 0.5773502691896258
(23-221)	Sim: 0.04389512813061471
(23-231)	Sim: 0.06019292654288461
(23-324)	Sim: 0.07053456158585983
(23-354)	Sim: 0.06622661785325219
(23-371)	Sim: 0.12038585308576923
(23-397)	Sim: 0.12038585308576923
(23-400)	Sim: 0.12239801227242092
(23-423)	Sim: 0.19245008972987526
(23-429)	Sim: 0.33333333333333337
(24-102)	Sim: 0.15811388300841897
(24-137)	Sim: 0.17677669529663687
(24-145)	Sim: 0.7071067811865475
(24-158)	Sim: 0.22360679774997896
(24-213)	Sim: 0.11043152607484653
(24-222)	Sim: 0.12126781251816648
(24-231)	Sim: 0.07372097807744857
(24-267)	Sim: 0.07001400420140048
(24-293)	Sim: 0.13363062095621217
(24-354)	Sim: 0.08111071056538126
(25-125)	Sim: 0.0981761387347632
(25-221)	Sim: 0.07602859212697055
(25-238)	Sim: 0.31622776601683794
(25-267)	Sim: 0.09901475429766744
(25-403)	Sim: 0.11180339887498948
(26-30)	Sim: 0.11180339887498948
(26-102)	Sim: 0.09999999999999998
(26-107)	Sim: 0.031702131247412065
(26-109)	Sim: 0.0512989176042577
(26-125)	Sim: 0.043905703995876136
(26-160)	Sim: 0.22360679774997896
(26-189)	Sim: 0.11547005383792514
(26-196)	Sim: 0.05345224838248487
(26-249)	Sim: 0.14654866108946232
(26-253)	Sim: 0.4472135954999579
